Team1Index,Team1,Team2Index,Team2,score1,score2,scoreDiff
NA,Toledo,NA,Eastern Mich.,91,74,17
NA,Jacksonville St.,NA,FIU,70,74,-4
NA,Valparaiso,22,Purdue,61,68,-7
NA,Jacksonville,NA,Georgia,65,98,-33
NA,Dallas Christian,NA,Sam Houston St.,42,117,-75
NA,McNeese,NA,SFA,76,86,-10
NA,Stetson,NA,Miami (FL),60,82,-22
NA,Crowley's Ridge,NA,Arkansas St.,49,115,-66
31,North Texas,NA,Mississippi St.,63,69,-6
NA,South Dakota St.,NA,Bradley,88,84,4
NA,Central Ark.,NA,Memphis,68,85,-17
NA,Long Beach St.,NA,LMU (CA),61,85,-24
NA,Troy,24,Texas Tech,46,80,-34
NA,Seton Hall,7,Oregon,70,83,-13
NA,San Francisco,NA,Cal Poly,88,60,28
NA,North Dakota,NA,Minnesota,67,76,-9
NA,South Alabama,NA,Auburn,81,90,-9
NA,Columbia Int'l,NA,Mercer,62,88,-26
NA,Bluefield Col.,65,Liberty,64,86,-22
NA,Toccoa Falls,NA,The Citadel,58,100,-42
NA,Idaho,NA,Sacramento St.,57,73,-16
NA,Montana,NA,Southern Utah,74,75,-1
15,Eastern Wash.,NA,Arizona,67,70,-3
NA,Northern Ky.,NA,Chattanooga,72,79,-7
NA,Coppin St.,NA,George Washington,69,85,-16
NA,Marist,NA,Binghamton,68,65,3
NA,South Carolina St.,NA,UNC Asheville,56,77,-21
51,Mount St. Mary's,10,VCU,42,60,-18
NA,Radford,NA,East Carolina,50,63,-13
NA,SMU,NA,Dayton,66,64,2
NA,North Florida,NA,High Point,74,85,-11
NA,Salem (WV),NA,Delaware,76,79,-3
NA,UIC,NA,Ball St.,66,68,-2
NA,Furman,NA,Col. of Charleston,81,57,24
NA,Eastern Ill.,NA,Green Bay,93,91,2
NA,Lamar University,NA,Air Force,44,59,-15
NA,UIW,NA,Texas St.,64,72,-8
NA,Omaha,NA,SIUE,65,63,2
NA,Lewis,60,Loyola Chicago,48,76,-28
NA,Miami (OH),NA,Wright St.,47,71,-24
NA,North Dakota St.,3,Kansas,61,65,-4
NA,St. Katherine,NA,Dixie St.,48,86,-38
50,Iona,NA,Hofstra,82,74,8
NA,Fairleigh Dickinson,NA,Providence,67,79,-12
NA,Chicago St.,NA,Northwestern,66,111,-45
NA,Samford,NA,Belmont,96,83,13
NA,LSU-Shreveport,NA,Louisiana,73,84,-11
NA,Lipscomb,21,Arkansas,50,86,-36
NA,Illinois St.,NA,Murray St.,65,76,-11
NA,Point Park,NA,Robert Morris,57,75,-18
NA,Ga. Southern,NA,USC Upstate,72,69,3
NA,South Carolina,54,Houston,67,77,-10
